y_m_j,Nbre_Acc,Nbre_Acc_t-1
2022-06-03,63,54.0
2022-06-04,81,63.0
2022-06-05,61,81.0
2022-06-06,56,61.0
2022-06-07,55,56.0
2022-06-08,50,55.0
2022-06-09,64,50.0
2022-06-10,63,64.0
2022-06-11,77,63.0
2022-06-12,77,77.0
2022-06-13,64,77.0
2022-06-14,70,64.0
2022-06-15,54,70.0
2022-06-16,60,54.0
2022-06-17,72,60.0
2022-06-18,69,72.0
2022-06-19,61,69.0
2022-06-20,45,61.0
2022-06-21,63,45.0
2022-06-22,54,63.0
2022-06-23,46,54.0
2022-06-24,56,46.0
2022-06-25,52,56.0
2022-06-26,59,52.0
2022-06-27,52,59.0
2022-06-28,43,52.0
2022-06-29,57,43.0
2022-06-30,49,57.0
2022-07-01,66,49.0
2022-07-02,70,66.0
2022-07-03,84,70.0
2022-07-04,43,84.0
2022-07-05,65,43.0
2022-07-06,66,65.0
2022-07-07,47,66.0
2022-07-08,80,47.0
2022-07-09,77,80.0
2022-07-10,75,77.0
2022-07-11,63,75.0
2022-07-12,61,63.0
2022-07-13,55,61.0
2022-07-14,58,55.0
2022-07-15,61,58.0
2022-07-16,76,61.0
2022-07-17,65,76.0
2022-07-18,52,65.0
2022-07-19,43,52.0
2022-07-20,47,43.0
2022-07-21,54,47.0
2022-07-22,68,54.0
2022-07-23,63,68.0
2022-07-24,63,63.0
2022-07-25,42,63.0
2022-07-26,50,42.0
2022-07-27,51,50.0
2022-07-28,59,51.0
2022-07-29,59,59.0
2022-07-30,74,59.0
2022-07-31,71,74.0
2022-08-01,45,71.0
2022-08-02,61,45.0
2022-08-03,59,61.0
2022-08-04,35,59.0
2022-08-05,57,35.0
2022-08-06,76,57.0
2022-08-07,64,76.0
2022-08-08,58,64.0
2022-08-09,38,58.0
2022-08-10,56,38.0
2022-08-11,48,56.0
2022-08-12,30,48.0
2022-08-13,70,30.0
2022-08-14,73,70.0
2022-08-15,49,73.0
2022-08-16,50,49.0
2022-08-17,40,50.0
2022-08-18,40,40.0
2022-08-19,55,40.0
2022-08-20,62,55.0
2022-08-21,43,62.0
2022-08-22,46,43.0
2022-08-23,44,46.0
2022-08-24,47,44.0
2022-08-25,46,47.0
2022-08-26,67,46.0
2022-08-27,55,67.0
2022-08-28,65,55.0
2022-08-29,42,65.0
2022-08-30,39,42.0
2022-08-31,66,39.0
2022-09-01,40,66.0
2022-09-02,44,40.0
2022-09-03,53,44.0
2022-09-04,55,53.0
2022-09-05,51,55.0
2022-09-06,42,51.0
2022-09-07,40,42.0
2022-09-08,47,40.0
2022-09-09,57,47.0
2022-09-10,60,57.0
2022-09-11,81,60.0
2022-09-12,47,81.0
2022-09-13,51,47.0
2022-09-14,53,51.0
2022-09-15,54,53.0
2022-09-16,51,54.0
2022-09-17,57,51.0
2022-09-18,71,57.0
2022-09-19,61,71.0
2022-09-20,47,61.0
2022-09-21,44,47.0
2022-09-22,58,44.0
2022-09-23,57,58.0
2022-09-24,52,57.0
2022-09-25,53,52.0
2022-09-26,40,53.0
2022-09-27,51,40.0
2022-09-28,36,51.0
2022-09-29,42,36.0
2022-09-30,65,42.0
2022-10-01,53,65.0
2022-10-02,61,53.0
2022-10-03,37,61.0
2022-10-04,52,37.0
2022-10-05,64,52.0
2022-10-06,47,64.0
2022-10-07,58,47.0
2022-10-08,70,58.0
2022-10-09,46,70.0
2022-10-10,46,46.0
2022-10-11,57,46.0
2022-10-12,39,57.0
2022-10-13,37,39.0
2022-10-14,64,37.0
2022-10-15,58,64.0
2022-10-16,47,58.0
2022-10-17,36,47.0
2022-10-18,53,36.0
2022-10-19,49,53.0
2022-10-20,44,49.0
2022-10-21,44,44.0
2022-10-22,61,44.0
2022-10-23,39,61.0
2022-10-24,57,39.0
2022-10-25,51,57.0
2022-10-26,52,51.0
2022-10-27,43,52.0
2022-10-28,58,43.0
2022-10-29,66,58.0
2022-10-30,74,66.0
2022-10-31,26,74.0
2022-11-01,51,26.0
2022-11-02,47,51.0
2022-11-03,35,47.0
2022-11-04,46,35.0
2022-11-05,41,46.0
2022-11-06,32,41.0
2022-11-07,50,32.0
2022-11-08,32,50.0
2022-11-09,52,32.0
2022-11-10,57,52.0
2022-11-11,61,57.0
2022-11-12,59,61.0
2022-11-13,56,59.0
2022-11-14,43,56.0
2022-11-15,37,43.0
2022-11-16,46,37.0
2022-11-17,44,46.0
2022-11-18,55,44.0
2022-11-19,40,55.0
2022-11-20,46,40.0
2022-11-21,55,46.0
2022-11-22,30,55.0
2022-11-23,34,30.0
2022-11-24,57,34.0
2022-11-25,60,57.0
2022-11-26,46,60.0
2022-11-27,38,46.0
2022-11-28,39,38.0
2022-11-29,36,39.0
2022-11-30,30,36.0
2022-12-01,47,30.0
2022-12-02,46,47.0
2022-12-03,40,46.0
2022-12-04,48,40.0
2022-12-05,50,48.0
2022-12-06,28,50.0
2022-12-07,40,28.0
2022-12-08,35,40.0
2022-12-09,62,35.0
2022-12-10,38,62.0
2022-12-11,27,38.0
2022-12-12,46,27.0
2022-12-13,31,46.0
2022-12-14,47,31.0
2022-12-15,41,47.0
2022-12-16,49,41.0
2022-12-17,35,49.0
2022-12-18,51,35.0
2022-12-19,33,51.0
2022-12-20,36,33.0
2022-12-21,45,36.0
2022-12-22,39,45.0
2022-12-23,65,39.0
2022-12-24,40,65.0
2022-12-25,27,40.0
2022-12-26,30,27.0
2022-12-27,34,30.0
2022-12-28,26,34.0
2022-12-29,38,26.0
2022-12-30,38,38.0
2022-12-31,44,38.0
