y_m_j,Nbre_Acc
2022-12-01,101
2022-12-02,139
2022-12-03,144
2022-12-04,122
2022-12-05,171
2022-12-06,116
2022-12-07,142
2022-12-08,132
2022-12-09,131
2022-12-10,137
2022-12-11,86
2022-12-12,113
2022-12-13,126
2022-12-14,106
2022-12-15,126
2022-12-16,148
2022-12-17,121
2022-12-18,86
2022-12-19,111
2022-12-20,89
2022-12-21,105
2022-12-22,114
2022-12-23,131
2022-12-24,85
2022-12-25,78
2022-12-26,84
2022-12-27,79
2022-12-28,82
2022-12-29,79
2022-12-30,112
2022-12-31,80
