y_m_j,Nbre_Acc,Nbre_Acc_t-1
2022-02-27,102,195.0
2022-02-28,106,102.0
2022-03-01,108,106.0
2022-03-02,97,108.0
2022-03-03,147,97.0
2022-03-04,150,147.0
2022-03-05,124,150.0
2022-03-06,107,124.0
2022-03-07,101,107.0
2022-03-08,129,101.0
2022-03-09,118,129.0
2022-03-10,117,118.0
2022-03-11,153,117.0
2022-03-12,143,153.0
2022-03-13,97,143.0
2022-03-14,122,97.0
2022-03-15,106,122.0
2022-03-16,108,106.0
2022-03-17,116,108.0
2022-03-18,147,116.0
2022-03-19,139,147.0
2022-03-20,105,139.0
2022-03-21,134,105.0
2022-03-22,110,134.0
2022-03-23,136,110.0
2022-03-24,137,136.0
2022-03-25,185,137.0
2022-03-26,135,185.0
2022-03-27,97,135.0
2022-03-28,93,97.0
2022-03-29,92,93.0
2022-03-30,114,92.0
2022-03-31,117,114.0
2022-04-01,119,117.0
2022-04-02,106,119.0
2022-04-03,64,106.0
2022-04-04,92,64.0
2022-04-05,145,92.0
2022-04-06,105,145.0
2022-04-07,118,105.0
2022-04-08,137,118.0
2022-04-09,124,137.0
2022-04-10,136,124.0
2022-04-11,133,136.0
2022-04-12,111,133.0
2022-04-13,136,111.0
2022-04-14,134,136.0
2022-04-15,174,134.0
2022-04-16,180,174.0
2022-04-17,128,180.0
2022-04-18,94,128.0
2022-04-19,111,94.0
2022-04-20,137,111.0
2022-04-21,127,137.0
2022-04-22,145,127.0
2022-04-23,84,145.0
2022-04-24,84,84.0
2022-04-25,143,84.0
2022-04-26,128,143.0
2022-04-27,139,128.0
2022-04-28,147,139.0
2022-04-29,154,147.0
2022-04-30,145,154.0
2022-05-01,114,145.0
2022-05-02,117,114.0
2022-05-03,119,117.0
2022-05-04,128,119.0
2022-05-05,109,128.0
2022-05-06,179,109.0
2022-05-07,143,179.0
2022-05-08,148,143.0
2022-05-09,153,148.0
2022-05-10,161,153.0
2022-05-11,187,161.0
2022-05-12,130,187.0
2022-05-13,186,130.0
2022-05-14,155,186.0
2022-05-15,117,155.0
2022-05-16,129,117.0
2022-05-17,185,129.0
2022-05-18,155,185.0
2022-05-19,149,155.0
2022-05-20,197,149.0
2022-05-21,171,197.0
2022-05-22,132,171.0
2022-05-23,149,132.0
2022-05-24,138,149.0
2022-05-25,138,138.0
2022-05-26,110,138.0
2022-05-27,130,110.0
2022-05-28,124,130.0
2022-05-29,137,124.0
2022-05-30,133,137.0
2022-05-31,125,133.0
2022-06-01,170,125.0
2022-06-02,150,170.0
2022-06-03,186,150.0
2022-06-04,208,186.0
2022-06-05,91,208.0
2022-06-06,93,91.0
2022-06-07,140,93.0
2022-06-08,129,140.0
2022-06-09,159,129.0
2022-06-10,156,159.0
2022-06-11,155,156.0
2022-06-12,132,155.0
2022-06-13,169,132.0
2022-06-14,178,169.0
2022-06-15,166,178.0
2022-06-16,174,166.0
2022-06-17,176,174.0
2022-06-18,143,176.0
2022-06-19,163,143.0
2022-06-20,141,163.0
2022-06-21,155,141.0
2022-06-22,162,155.0
2022-06-23,134,162.0
2022-06-24,166,134.0
2022-06-25,130,166.0
2022-06-26,147,130.0
2022-06-27,138,147.0
2022-06-28,140,138.0
2022-06-29,163,140.0
2022-06-30,125,163.0
2022-07-01,205,125.0
2022-07-02,146,205.0
2022-07-03,120,146.0
2022-07-04,177,120.0
2022-07-05,176,177.0
2022-07-06,135,176.0
2022-07-07,151,135.0
2022-07-08,189,151.0
2022-07-09,157,189.0
2022-07-10,145,157.0
2022-07-11,141,145.0
2022-07-12,157,141.0
2022-07-13,146,157.0
2022-07-14,114,146.0
2022-07-15,115,114.0
2022-07-16,136,115.0
2022-07-17,121,136.0
2022-07-18,97,121.0
2022-07-19,122,97.0
2022-07-20,133,122.0
2022-07-21,153,133.0
2022-07-22,100,153.0
2022-07-23,134,100.0
2022-07-24,109,134.0
2022-07-25,97,109.0
2022-07-26,116,97.0
2022-07-27,123,116.0
2022-07-28,136,123.0
2022-07-29,127,136.0
2022-07-30,131,127.0
2022-07-31,103,131.0
2022-08-01,110,103.0
2022-08-02,150,110.0
2022-08-03,126,150.0
2022-08-04,99,126.0
2022-08-05,130,99.0
2022-08-06,126,130.0
2022-08-07,158,126.0
2022-08-08,122,158.0
2022-08-09,89,122.0
2022-08-10,119,89.0
2022-08-11,95,119.0
2022-08-12,111,95.0
2022-08-13,124,111.0
2022-08-14,94,124.0
2022-08-15,61,94.0
2022-08-16,107,61.0
2022-08-17,70,107.0
2022-08-18,95,70.0
2022-08-19,83,95.0
2022-08-20,137,83.0
2022-08-21,71,137.0
2022-08-22,90,71.0
2022-08-23,107,90.0
2022-08-24,148,107.0
2022-08-25,123,148.0
2022-08-26,126,123.0
2022-08-27,94,126.0
2022-08-28,88,94.0
2022-08-29,145,88.0
2022-08-30,132,145.0
2022-08-31,127,132.0
2022-09-01,145,127.0
2022-09-02,155,145.0
2022-09-03,135,155.0
2022-09-04,105,135.0
2022-09-05,136,105.0
2022-09-06,138,136.0
2022-09-07,137,138.0
2022-09-08,111,137.0
2022-09-09,148,111.0
2022-09-10,124,148.0
2022-09-11,139,124.0
2022-09-12,148,139.0
2022-09-13,113,148.0
2022-09-14,129,113.0
2022-09-15,129,129.0
2022-09-16,148,129.0
2022-09-17,140,148.0
2022-09-18,144,140.0
2022-09-19,162,144.0
2022-09-20,166,162.0
2022-09-21,185,166.0
2022-09-22,164,185.0
2022-09-23,142,164.0
2022-09-24,151,142.0
2022-09-25,120,151.0
2022-09-26,130,120.0
2022-09-27,135,130.0
2022-09-28,137,135.0
2022-09-29,135,137.0
2022-09-30,140,135.0
2022-10-01,174,140.0
2022-10-02,124,174.0
2022-10-03,146,124.0
2022-10-04,136,146.0
2022-10-05,135,136.0
2022-10-06,156,135.0
2022-10-07,184,156.0
2022-10-08,159,184.0
2022-10-09,110,159.0
2022-10-10,111,110.0
2022-10-11,162,111.0
2022-10-12,120,162.0
2022-10-13,136,120.0
2022-10-14,172,136.0
2022-10-15,153,172.0
2022-10-16,94,153.0
2022-10-17,120,94.0
2022-10-18,127,120.0
2022-10-19,129,127.0
2022-10-20,152,129.0
2022-10-21,182,152.0
2022-10-22,114,182.0
2022-10-23,108,114.0
2022-10-24,122,108.0
2022-10-25,143,122.0
2022-10-26,142,143.0
2022-10-27,116,142.0
2022-10-28,132,116.0
2022-10-29,166,132.0
2022-10-30,111,166.0
2022-10-31,110,111.0
2022-11-01,102,110.0
2022-11-02,138,102.0
2022-11-03,116,138.0
2022-11-04,116,116.0
2022-11-05,117,116.0
2022-11-06,121,117.0
2022-11-07,153,121.0
2022-11-08,138,153.0
2022-11-09,153,138.0
2022-11-10,158,153.0
2022-11-11,87,158.0
2022-11-12,127,87.0
2022-11-13,102,127.0
2022-11-14,135,102.0
2022-11-15,148,135.0
2022-11-16,178,148.0
2022-11-17,129,178.0
2022-11-18,145,129.0
2022-11-19,107,145.0
2022-11-20,125,107.0
2022-11-21,147,125.0
2022-11-22,139,147.0
2022-11-23,120,139.0
2022-11-24,155,120.0
2022-11-25,182,155.0
2022-11-26,121,182.0
2022-11-27,80,121.0
2022-11-28,117,80.0
2022-11-29,130,117.0
2022-11-30,118,130.0
2022-12-01,107,118.0
2022-12-02,141,107.0
2022-12-03,130,141.0
2022-12-04,102,130.0
2022-12-05,184,102.0
2022-12-06,109,184.0
2022-12-07,132,109.0
2022-12-08,132,132.0
2022-12-09,142,132.0
2022-12-10,142,142.0
2022-12-11,115,142.0
