y_m_j,Nbre_Acc,Nbre_Acc_t-1
2021-08-17,102,126.42857142857143
2021-08-18,97,124.14285714285714
2021-08-19,90,121.71428571428571
2021-08-20,150,115.14285714285714
2021-08-21,145,114.57142857142857
2021-08-22,125,117.28571428571429
2021-08-23,99,121.0
2021-08-24,128,115.42857142857143
2021-08-25,136,119.14285714285714
2021-08-26,115,124.71428571428571
2021-08-27,161,128.28571428571428
2021-08-28,178,129.85714285714286
2021-08-29,111,134.57142857142858
2021-08-30,137,132.57142857142858
2021-08-31,149,138.0
2021-09-01,159,141.0
2021-09-02,128,144.28571428571428
2021-09-03,174,146.14285714285714
2021-09-04,152,148.0
2021-09-05,146,144.28571428571428
2021-09-06,154,149.28571428571428
2021-09-07,176,151.71428571428572
2021-09-08,166,155.57142857142858
2021-09-09,142,156.57142857142858
2021-09-10,170,158.57142857142858
2021-09-11,147,158.0
2021-09-12,156,157.28571428571428
2021-09-13,150,158.71428571428572
2021-09-14,166,158.14285714285714
2021-09-15,153,156.71428571428572
2021-09-16,128,154.85714285714286
2021-09-17,174,152.85714285714286
2021-09-18,180,153.42857142857142
2021-09-19,98,158.14285714285714
2021-09-20,144,149.85714285714286
2021-09-21,166,149.0
2021-09-22,164,149.0
2021-09-23,207,150.57142857142858
2021-09-24,184,161.85714285714286
2021-09-25,171,163.28571428571428
2021-09-26,141,162.0
2021-09-27,144,168.14285714285714
2021-09-28,165,168.14285714285714
2021-09-29,156,168.0
2021-09-30,169,166.85714285714286
2021-10-01,185,161.42857142857142
2021-10-02,177,161.57142857142858
2021-10-03,130,162.42857142857142
2021-10-04,133,160.85714285714286
2021-10-05,175,159.28571428571428
2021-10-06,170,160.71428571428572
2021-10-07,141,162.71428571428572
2021-10-08,159,158.71428571428572
2021-10-09,213,155.0
2021-10-10,149,160.14285714285714
2021-10-11,120,162.85714285714286
2021-10-12,181,161.0
2021-10-13,165,161.85714285714286
2021-10-14,169,161.14285714285714
2021-10-15,161,165.14285714285714
2021-10-16,214,165.42857142857142
2021-10-17,141,165.57142857142858
2021-10-18,141,164.42857142857142
2021-10-19,178,167.42857142857142
2021-10-20,137,167.0
2021-10-21,158,163.0
2021-10-22,212,161.42857142857142
2021-10-23,137,168.71428571428572
2021-10-24,135,157.71428571428572
2021-10-25,123,156.85714285714286
2021-10-26,126,154.28571428571428
2021-10-27,140,146.85714285714286
2021-10-28,186,147.28571428571428
2021-10-29,184,151.28571428571428
2021-10-30,135,147.28571428571428
2021-10-31,136,147.0
2021-11-01,105,147.14285714285714
2021-11-02,124,144.57142857142858
2021-11-03,144,144.28571428571428
2021-11-04,142,144.85714285714286
2021-11-05,149,138.57142857142858
2021-11-06,113,133.57142857142858
2021-11-07,126,130.42857142857142
2021-11-08,138,129.0
2021-11-09,129,133.71428571428572
2021-11-10,145,134.42857142857142
2021-11-11,107,134.57142857142858
2021-11-12,124,129.57142857142858
2021-11-13,143,126.0
2021-11-14,108,130.28571428571428
2021-11-15,149,127.71428571428571
2021-11-16,155,129.28571428571428
2021-11-17,156,133.0
2021-11-18,146,134.57142857142858
2021-11-19,152,140.14285714285714
2021-11-20,110,144.14285714285714
2021-11-21,105,139.42857142857142
2021-11-22,132,139.0
2021-11-23,124,136.57142857142858
2021-11-24,124,132.14285714285714
2021-11-25,150,127.57142857142857
2021-11-26,167,128.14285714285714
2021-11-27,142,130.28571428571428
2021-11-28,99,134.85714285714286
2021-11-29,154,134.0
2021-11-30,131,137.14285714285714
2021-12-01,139,138.14285714285714
2021-12-02,142,140.28571428571428
2021-12-03,188,139.14285714285714
2021-12-04,156,142.14285714285714
2021-12-05,160,144.14285714285714
2021-12-06,146,152.85714285714286
2021-12-07,143,151.71428571428572
2021-12-08,141,153.42857142857142
2021-12-09,181,153.71428571428572
2021-12-10,165,159.28571428571428
2021-12-11,160,156.0
2021-12-12,95,156.57142857142858
2021-12-13,136,147.28571428571428
2021-12-14,133,145.85714285714286
2021-12-15,124,144.42857142857142
2021-12-16,124,142.0
2021-12-17,171,133.85714285714286
2021-12-18,127,134.71428571428572
2021-12-19,110,130.0
2021-12-20,87,132.14285714285714
2021-12-21,122,125.14285714285714
2021-12-22,122,123.57142857142857
2021-12-23,120,123.28571428571429
2021-12-24,88,122.71428571428571
2021-12-25,79,110.85714285714286
2021-12-26,99,104.0
2021-12-27,111,102.42857142857143
2021-12-28,116,105.85714285714286
2021-12-29,83,105.0
2021-12-30,101,99.42857142857143
2021-12-31,113,96.71428571428571
2022-01-01,102,100.28571428571429
2022-01-02,62,103.57142857142857
2022-01-03,111,98.28571428571429
2022-01-04,96,98.28571428571429
2022-01-05,96,95.42857142857143
2022-01-06,102,97.28571428571429
2022-01-07,108,97.42857142857143
2022-01-08,97,96.71428571428571
2022-01-09,84,96.0
2022-01-10,111,99.14285714285714
2022-01-11,114,99.14285714285714
2022-01-12,115,101.71428571428571
2022-01-13,127,104.42857142857143
2022-01-14,140,108.0
2022-01-15,116,112.57142857142857
2022-01-16,80,115.28571428571429
2022-01-17,101,114.71428571428571
2022-01-18,94,113.28571428571429
2022-01-19,101,110.42857142857143
2022-01-20,94,108.42857142857143
2022-01-21,128,103.71428571428571
2022-01-22,103,102.0
2022-01-23,93,100.14285714285714
2022-01-24,114,102.0
2022-01-25,107,103.85714285714286
2022-01-26,105,105.71428571428571
2022-01-27,103,106.28571428571429
2022-01-28,122,107.57142857142857
2022-01-29,147,106.71428571428571
2022-01-30,114,113.0
2022-01-31,106,116.0
2022-02-01,117,114.85714285714286
2022-02-02,115,116.28571428571429
2022-02-03,115,117.71428571428571
2022-02-04,149,119.42857142857143
2022-02-05,153,123.28571428571429
2022-02-06,114,124.14285714285714
2022-02-07,115,124.14285714285714
2022-02-08,128,125.42857142857143
2022-02-09,123,127.0
2022-02-10,114,128.14285714285714
2022-02-11,171,128.0
2022-02-12,146,131.14285714285714
2022-02-13,77,130.14285714285714
2022-02-14,109,124.85714285714286
2022-02-15,119,124.0
2022-02-16,104,122.71428571428571
2022-02-17,112,120.0
2022-02-18,118,119.71428571428571
2022-02-19,123,112.14285714285714
2022-02-20,86,108.85714285714286
2022-02-21,94,110.14285714285714
2022-02-22,121,108.0
2022-02-23,87,108.28571428571429
2022-02-24,74,105.85714285714286
2022-02-25,153,100.42857142857143
2022-02-26,142,105.42857142857143
2022-02-27,91,108.14285714285714
2022-02-28,119,108.85714285714286
2022-03-01,95,112.42857142857143
2022-03-02,111,108.71428571428571
2022-03-03,119,112.14285714285714
2022-03-04,145,118.57142857142857
2022-03-05,109,117.42857142857143
2022-03-06,119,112.71428571428571
2022-03-07,100,116.71428571428571
2022-03-08,117,114.0
2022-03-09,126,117.14285714285714
2022-03-10,123,119.28571428571429
2022-03-11,145,119.85714285714286
2022-03-12,138,119.85714285714286
2022-03-13,99,124.0
2022-03-14,134,121.14285714285714
2022-03-15,123,126.0
2022-03-16,109,126.85714285714286
2022-03-17,123,124.42857142857143
2022-03-18,137,124.42857142857143
2022-03-19,109,123.28571428571429
2022-03-20,100,119.14285714285714
2022-03-21,121,119.28571428571429
2022-03-22,118,117.42857142857143
2022-03-23,151,116.71428571428571
2022-03-24,119,122.71428571428571
2022-03-25,174,122.14285714285714
2022-03-26,159,127.42857142857143
2022-03-27,133,134.57142857142858
2022-03-28,94,139.28571428571428
2022-03-29,112,135.42857142857142
2022-03-30,111,134.57142857142858
2022-03-31,126,128.85714285714286
2022-04-01,121,129.85714285714286
2022-04-02,101,122.28571428571429
2022-04-03,83,114.0
2022-04-04,84,106.85714285714286
2022-04-05,121,105.42857142857143
2022-04-06,124,106.71428571428571
2022-04-07,104,108.57142857142857
2022-04-08,143,105.42857142857143
2022-04-09,108,108.57142857142857
2022-04-10,122,109.57142857142857
2022-04-11,129,115.14285714285714
2022-04-12,108,121.57142857142857
2022-04-13,129,119.71428571428571
2022-04-14,137,120.42857142857143
2022-04-15,124,125.14285714285714
2022-04-16,162,122.42857142857143
2022-04-17,138,130.14285714285714
2022-04-18,96,132.42857142857142
2022-04-19,126,127.71428571428571
2022-04-20,128,130.28571428571428
2022-04-21,126,130.14285714285714
2022-04-22,144,128.57142857142858
2022-04-23,102,131.42857142857142
2022-04-24,69,122.85714285714286
2022-04-25,132,113.0
2022-04-26,126,118.14285714285714
2022-04-27,123,118.14285714285714
2022-04-28,120,117.42857142857143
2022-04-29,152,116.57142857142857
2022-04-30,138,117.71428571428571
2022-05-01,122,122.85714285714286
2022-05-02,99,130.42857142857142
2022-05-03,116,125.71428571428571
2022-05-04,109,124.28571428571429
2022-05-05,125,122.28571428571429
2022-05-06,165,123.0
2022-05-07,146,124.85714285714286
2022-05-08,145,126.0
2022-05-09,136,129.28571428571428
2022-05-10,152,134.57142857142858
2022-05-11,190,139.71428571428572
2022-05-12,135,151.28571428571428
2022-05-13,170,152.71428571428572
2022-05-14,151,153.42857142857142
2022-05-15,144,154.14285714285714
2022-05-16,131,154.0
2022-05-17,183,153.28571428571428
2022-05-18,161,157.71428571428572
2022-05-19,116,153.57142857142858
2022-05-20,169,150.85714285714286
2022-05-21,185,150.71428571428572
2022-05-22,132,155.57142857142858
2022-05-23,167,153.85714285714286
2022-05-24,163,159.0
2022-05-25,138,156.14285714285714
2022-05-26,93,152.85714285714286
2022-05-27,160,149.57142857142858
2022-05-28,127,148.28571428571428
2022-05-29,110,140.0
2022-05-30,106,136.85714285714286
2022-05-31,116,128.14285714285714
2022-06-01,166,121.42857142857143
2022-06-02,130,125.42857142857143
2022-06-03,188,130.71428571428572
2022-06-04,186,134.71428571428572
2022-06-05,110,143.14285714285714
2022-06-06,113,143.14285714285714
2022-06-07,152,144.14285714285714
2022-06-08,121,149.28571428571428
2022-06-09,152,142.85714285714286
2022-06-10,159,146.0
2022-06-11,162,141.85714285714286
2022-06-12,150,138.42857142857142
2022-06-13,133,144.14285714285714
2022-06-14,156,147.0
2022-06-15,146,147.57142857142858
2022-06-16,172,151.14285714285714
2022-06-17,200,154.0
2022-06-18,175,159.85714285714286
2022-06-19,149,161.71428571428572
2022-06-20,133,161.57142857142858
2022-06-21,157,161.57142857142858
2022-06-22,146,161.71428571428572
2022-06-23,115,161.71428571428572
2022-06-24,153,153.57142857142858
2022-06-25,177,146.85714285714286
2022-06-26,142,147.14285714285714
2022-06-27,128,146.14285714285714
2022-06-28,126,145.42857142857142
2022-06-29,138,141.0
2022-06-30,128,139.85714285714286
2022-07-01,175,141.71428571428572
2022-07-02,137,144.85714285714286
2022-07-03,116,139.14285714285714
2022-07-04,154,135.42857142857142
2022-07-05,174,139.14285714285714
2022-07-06,133,146.0
2022-07-07,145,145.28571428571428
2022-07-08,194,147.71428571428572
2022-07-09,142,150.42857142857142
2022-07-10,132,151.14285714285714
2022-07-11,155,153.42857142857142
2022-07-12,162,153.57142857142858
2022-07-13,133,151.85714285714286
2022-07-14,109,151.85714285714286
2022-07-15,118,146.71428571428572
2022-07-16,146,135.85714285714286
2022-07-17,114,136.42857142857142
2022-07-18,123,133.85714285714286
2022-07-19,110,129.28571428571428
2022-07-20,116,121.85714285714286
2022-07-21,144,119.42857142857143
2022-07-22,109,124.42857142857143
2022-07-23,122,123.14285714285714
2022-07-24,103,119.71428571428571
2022-07-25,104,118.14285714285714
2022-07-26,100,115.42857142857143
2022-07-27,114,114.0
2022-07-28,111,113.71428571428571
2022-07-29,109,109.0
2022-07-30,142,109.0
2022-07-31,109,111.85714285714286
2022-08-01,101,112.71428571428571
2022-08-02,135,112.28571428571429
2022-08-03,121,117.28571428571429
2022-08-04,97,118.28571428571429
2022-08-05,139,116.28571428571429
2022-08-06,138,120.57142857142857
2022-08-07,119,120.0
2022-08-08,88,121.42857142857143
2022-08-09,99,119.57142857142857
2022-08-10,111,114.42857142857143
2022-08-11,84,113.0
2022-08-12,105,111.14285714285714
2022-08-13,135,106.28571428571429
2022-08-14,120,105.85714285714286
2022-08-15,59,106.0
2022-08-16,97,101.85714285714286
2022-08-17,81,101.57142857142857
2022-08-18,92,97.28571428571429
2022-08-19,108,98.42857142857143
2022-08-20,129,98.85714285714286
2022-08-21,88,98.0
2022-08-22,88,93.42857142857143
2022-08-23,100,97.57142857142857
2022-08-24,136,98.0
2022-08-25,111,105.85714285714286
2022-08-26,114,108.57142857142857
2022-08-27,89,109.42857142857143
2022-08-28,90,103.71428571428571
2022-08-29,101,104.0
2022-08-30,122,105.85714285714286
2022-08-31,148,109.0
2022-09-01,106,110.71428571428571
2022-09-02,136,110.0
2022-09-03,143,113.14285714285714
2022-09-04,103,120.85714285714286
2022-09-05,147,122.71428571428571
2022-09-06,138,129.28571428571428
2022-09-07,131,131.57142857142858
2022-09-08,96,129.14285714285714
2022-09-09,159,127.71428571428571
2022-09-10,130,131.0
2022-09-11,171,129.14285714285714
2022-09-12,137,138.85714285714286
2022-09-13,93,137.42857142857142
2022-09-14,149,131.0
2022-09-15,116,133.57142857142858
2022-09-16,145,136.42857142857142
2022-09-17,157,134.42857142857142
2022-09-18,134,138.28571428571428
2022-09-19,145,133.0
2022-09-20,151,134.14285714285714
2022-09-21,165,142.42857142857142
2022-09-22,141,144.71428571428572
2022-09-23,131,148.28571428571428
2022-09-24,126,146.28571428571428
2022-09-25,132,141.85714285714286
2022-09-26,121,141.57142857142858
2022-09-27,151,138.14285714285714
2022-09-28,136,138.14285714285714
2022-09-29,128,134.0
2022-09-30,143,132.14285714285714
2022-10-01,158,133.85714285714286
2022-10-02,145,138.42857142857142
2022-10-03,116,140.28571428571428
2022-10-04,105,139.57142857142858
2022-10-05,129,133.0
2022-10-06,146,132.0
2022-10-07,179,134.57142857142858
2022-10-08,148,139.71428571428572
2022-10-09,117,138.28571428571428
2022-10-10,134,134.28571428571428
2022-10-11,122,136.85714285714286
2022-10-12,136,139.28571428571428
2022-10-13,138,140.28571428571428
2022-10-14,187,139.14285714285714
2022-10-15,118,140.28571428571428
2022-10-16,106,136.0
2022-10-17,146,134.42857142857142
2022-10-18,102,136.14285714285714
2022-10-19,133,133.28571428571428
2022-10-20,149,132.85714285714286
2022-10-21,187,134.42857142857142
2022-10-22,138,134.42857142857142
2022-10-23,104,137.28571428571428
2022-10-24,115,137.0
2022-10-25,128,132.57142857142858
2022-10-26,150,136.28571428571428
2022-10-27,124,138.71428571428572
2022-10-28,148,135.14285714285714
2022-10-29,159,129.57142857142858
2022-10-30,112,132.57142857142858
2022-10-31,115,133.71428571428572
2022-11-01,94,133.71428571428572
2022-11-02,147,128.85714285714286
2022-11-03,109,128.42857142857142
2022-11-04,103,126.28571428571429
2022-11-05,131,119.85714285714286
2022-11-06,118,115.85714285714286
2022-11-07,145,116.71428571428571
2022-11-08,117,121.0
2022-11-09,144,124.28571428571429
2022-11-10,145,123.85714285714286
2022-11-11,90,129.0
2022-11-12,146,127.14285714285714
2022-11-13,135,129.28571428571428
2022-11-14,130,131.71428571428572
2022-11-15,154,129.57142857142858
2022-11-16,168,134.85714285714286
2022-11-17,104,138.28571428571428
2022-11-18,139,132.42857142857142
2022-11-19,111,139.42857142857142
2022-11-20,124,134.42857142857142
2022-11-21,157,132.85714285714286
2022-11-22,127,136.71428571428572
2022-11-23,128,132.85714285714286
2022-11-24,127,127.14285714285714
2022-11-25,145,130.42857142857142
2022-11-26,140,131.28571428571428
2022-11-27,94,135.42857142857142
2022-11-28,132,131.14285714285714
2022-11-29,136,127.57142857142857
2022-11-30,119,128.85714285714286
2022-12-01,101,127.57142857142857
2022-12-02,139,123.85714285714286
2022-12-03,144,123.0
2022-12-04,122,123.57142857142857
2022-12-05,171,127.57142857142857
2022-12-06,116,133.14285714285714
2022-12-07,142,130.28571428571428
2022-12-08,132,133.57142857142858
2022-12-09,131,138.0
2022-12-10,137,136.85714285714286
2022-12-11,86,135.85714285714286
2022-12-12,113,130.71428571428572
2022-12-13,126,122.42857142857143
2022-12-14,106,123.85714285714286
2022-12-15,126,118.71428571428571
2022-12-16,148,117.85714285714286
2022-12-17,121,120.28571428571429
2022-12-18,86,118.0
2022-12-19,111,118.0
2022-12-20,89,117.71428571428571
2022-12-21,105,112.42857142857143
2022-12-22,114,112.28571428571429
2022-12-23,131,110.57142857142857
2022-12-24,85,108.14285714285714
2022-12-25,78,103.0
2022-12-26,84,101.85714285714286
2022-12-27,79,98.0
2022-12-28,82,96.57142857142857
2022-12-29,79,93.28571428571429
2022-12-30,112,88.28571428571429
2022-12-31,80,85.57142857142857
