,ds,y,unique_id
579,2022-08-03,126,1
580,2022-08-04,99,1
581,2022-08-05,130,1
582,2022-08-06,126,1
583,2022-08-07,158,1
584,2022-08-08,122,1
585,2022-08-09,89,1
586,2022-08-10,119,1
587,2022-08-11,95,1
588,2022-08-12,111,1
589,2022-08-13,124,1
590,2022-08-14,94,1
591,2022-08-15,61,1
592,2022-08-16,107,1
593,2022-08-17,70,1
594,2022-08-18,95,1
595,2022-08-19,83,1
596,2022-08-20,137,1
597,2022-08-21,71,1
598,2022-08-22,90,1
599,2022-08-23,107,1
600,2022-08-24,148,1
601,2022-08-25,123,1
602,2022-08-26,126,1
603,2022-08-27,94,1
604,2022-08-28,88,1
605,2022-08-29,145,1
606,2022-08-30,132,1
607,2022-08-31,127,1
608,2022-09-01,145,1
609,2022-09-02,155,1
610,2022-09-03,135,1
611,2022-09-04,105,1
612,2022-09-05,136,1
613,2022-09-06,138,1
614,2022-09-07,137,1
615,2022-09-08,111,1
616,2022-09-09,148,1
617,2022-09-10,124,1
618,2022-09-11,139,1
619,2022-09-12,148,1
620,2022-09-13,113,1
621,2022-09-14,129,1
622,2022-09-15,129,1
623,2022-09-16,148,1
624,2022-09-17,140,1
625,2022-09-18,144,1
626,2022-09-19,162,1
627,2022-09-20,166,1
628,2022-09-21,185,1
629,2022-09-22,164,1
630,2022-09-23,142,1
631,2022-09-24,151,1
632,2022-09-25,120,1
633,2022-09-26,130,1
634,2022-09-27,135,1
635,2022-09-28,137,1
636,2022-09-29,135,1
637,2022-09-30,140,1
638,2022-10-01,174,1
639,2022-10-02,124,1
640,2022-10-03,146,1
641,2022-10-04,136,1
642,2022-10-05,135,1
643,2022-10-06,156,1
644,2022-10-07,184,1
645,2022-10-08,159,1
646,2022-10-09,110,1
647,2022-10-10,111,1
648,2022-10-11,162,1
649,2022-10-12,120,1
650,2022-10-13,136,1
651,2022-10-14,172,1
652,2022-10-15,153,1
653,2022-10-16,94,1
654,2022-10-17,120,1
655,2022-10-18,127,1
656,2022-10-19,129,1
657,2022-10-20,152,1
658,2022-10-21,182,1
659,2022-10-22,114,1
660,2022-10-23,108,1
661,2022-10-24,122,1
662,2022-10-25,143,1
663,2022-10-26,142,1
664,2022-10-27,116,1
665,2022-10-28,132,1
666,2022-10-29,166,1
667,2022-10-30,111,1
668,2022-10-31,110,1
669,2022-11-01,102,1
670,2022-11-02,138,1
671,2022-11-03,116,1
672,2022-11-04,116,1
673,2022-11-05,117,1
674,2022-11-06,121,1
675,2022-11-07,153,1
676,2022-11-08,138,1
677,2022-11-09,153,1
678,2022-11-10,158,1
679,2022-11-11,87,1
680,2022-11-12,127,1
681,2022-11-13,102,1
682,2022-11-14,135,1
683,2022-11-15,148,1
684,2022-11-16,178,1
685,2022-11-17,129,1
686,2022-11-18,145,1
687,2022-11-19,107,1
688,2022-11-20,125,1
689,2022-11-21,147,1
690,2022-11-22,139,1
691,2022-11-23,120,1
692,2022-11-24,155,1
693,2022-11-25,182,1
694,2022-11-26,121,1
695,2022-11-27,80,1
696,2022-11-28,117,1
697,2022-11-29,130,1
698,2022-11-30,118,1
699,2022-12-01,107,1
700,2022-12-02,141,1
701,2022-12-03,130,1
702,2022-12-04,102,1
703,2022-12-05,184,1
704,2022-12-06,109,1
705,2022-12-07,132,1
706,2022-12-08,132,1
707,2022-12-09,142,1
708,2022-12-10,142,1
709,2022-12-11,115,1
710,2022-12-12,144,1
711,2022-12-13,119,1
712,2022-12-14,134,1
713,2022-12-15,124,1
714,2022-12-16,181,1
715,2022-12-17,122,1
716,2022-12-18,99,1
717,2022-12-19,98,1
718,2022-12-20,114,1
719,2022-12-21,128,1
720,2022-12-22,105,1
721,2022-12-23,168,1
722,2022-12-24,87,1
723,2022-12-25,59,1
724,2022-12-26,83,1
725,2022-12-27,99,1
726,2022-12-28,85,1
727,2022-12-29,81,1
728,2022-12-30,109,1
729,2022-12-31,93,1
