y_m_j,Nbre_Acc,Nbre_Acc_t-1
2022-05-23,167,132.0
2022-05-24,163,167.0
2022-05-25,138,163.0
2022-05-26,93,138.0
2022-05-27,160,93.0
2022-05-28,127,160.0
2022-05-29,110,127.0
2022-05-30,106,110.0
2022-05-31,116,106.0
2022-06-01,166,116.0
2022-06-02,130,166.0
2022-06-03,188,130.0
2022-06-04,186,188.0
2022-06-05,110,186.0
2022-06-06,113,110.0
2022-06-07,152,113.0
2022-06-08,121,152.0
2022-06-09,152,121.0
2022-06-10,159,152.0
2022-06-11,162,159.0
2022-06-12,150,162.0
2022-06-13,133,150.0
2022-06-14,156,133.0
2022-06-15,146,156.0
2022-06-16,172,146.0
2022-06-17,200,172.0
2022-06-18,175,200.0
2022-06-19,149,175.0
2022-06-20,133,149.0
2022-06-21,157,133.0
2022-06-22,146,157.0
2022-06-23,115,146.0
2022-06-24,153,115.0
2022-06-25,177,153.0
2022-06-26,142,177.0
2022-06-27,128,142.0
2022-06-28,126,128.0
2022-06-29,138,126.0
2022-06-30,128,138.0
2022-07-01,175,128.0
2022-07-02,137,175.0
2022-07-03,116,137.0
2022-07-04,154,116.0
2022-07-05,174,154.0
2022-07-06,133,174.0
2022-07-07,145,133.0
2022-07-08,194,145.0
2022-07-09,142,194.0
2022-07-10,132,142.0
2022-07-11,155,132.0
2022-07-12,162,155.0
2022-07-13,133,162.0
2022-07-14,109,133.0
2022-07-15,118,109.0
2022-07-16,146,118.0
2022-07-17,114,146.0
2022-07-18,123,114.0
2022-07-19,110,123.0
2022-07-20,116,110.0
2022-07-21,144,116.0
2022-07-22,109,144.0
2022-07-23,122,109.0
2022-07-24,103,122.0
2022-07-25,104,103.0
2022-07-26,100,104.0
2022-07-27,114,100.0
2022-07-28,111,114.0
2022-07-29,109,111.0
2022-07-30,142,109.0
2022-07-31,109,142.0
2022-08-01,101,109.0
2022-08-02,135,101.0
2022-08-03,121,135.0
2022-08-04,97,121.0
2022-08-05,139,97.0
2022-08-06,138,139.0
2022-08-07,119,138.0
2022-08-08,88,119.0
2022-08-09,99,88.0
2022-08-10,111,99.0
2022-08-11,84,111.0
2022-08-12,105,84.0
2022-08-13,135,105.0
2022-08-14,120,135.0
2022-08-15,59,120.0
2022-08-16,97,59.0
2022-08-17,81,97.0
2022-08-18,92,81.0
2022-08-19,108,92.0
2022-08-20,129,108.0
2022-08-21,88,129.0
2022-08-22,88,88.0
2022-08-23,100,88.0
2022-08-24,136,100.0
2022-08-25,111,136.0
2022-08-26,114,111.0
2022-08-27,89,114.0
2022-08-28,90,89.0
2022-08-29,101,90.0
2022-08-30,122,101.0
2022-08-31,148,122.0
2022-09-01,106,148.0
2022-09-02,136,106.0
2022-09-03,143,136.0
2022-09-04,103,143.0
2022-09-05,147,103.0
2022-09-06,138,147.0
2022-09-07,131,138.0
2022-09-08,96,131.0
2022-09-09,159,96.0
2022-09-10,130,159.0
2022-09-11,171,130.0
2022-09-12,137,171.0
2022-09-13,93,137.0
2022-09-14,149,93.0
2022-09-15,116,149.0
2022-09-16,145,116.0
2022-09-17,157,145.0
2022-09-18,134,157.0
2022-09-19,145,134.0
2022-09-20,151,145.0
2022-09-21,165,151.0
2022-09-22,141,165.0
2022-09-23,131,141.0
2022-09-24,126,131.0
2022-09-25,132,126.0
2022-09-26,121,132.0
2022-09-27,151,121.0
2022-09-28,136,151.0
2022-09-29,128,136.0
2022-09-30,143,128.0
2022-10-01,158,143.0
2022-10-02,145,158.0
2022-10-03,116,145.0
2022-10-04,105,116.0
2022-10-05,129,105.0
2022-10-06,146,129.0
2022-10-07,179,146.0
2022-10-08,148,179.0
2022-10-09,117,148.0
2022-10-10,134,117.0
2022-10-11,122,134.0
2022-10-12,136,122.0
2022-10-13,138,136.0
2022-10-14,187,138.0
2022-10-15,118,187.0
2022-10-16,106,118.0
2022-10-17,146,106.0
2022-10-18,102,146.0
2022-10-19,133,102.0
2022-10-20,149,133.0
2022-10-21,187,149.0
2022-10-22,138,187.0
2022-10-23,104,138.0
2022-10-24,115,104.0
2022-10-25,128,115.0
2022-10-26,150,128.0
2022-10-27,124,150.0
2022-10-28,148,124.0
2022-10-29,159,148.0
2022-10-30,112,159.0
2022-10-31,115,112.0
2022-11-01,94,115.0
2022-11-02,147,94.0
2022-11-03,109,147.0
2022-11-04,103,109.0
2022-11-05,131,103.0
2022-11-06,118,131.0
2022-11-07,145,118.0
2022-11-08,117,145.0
2022-11-09,144,117.0
2022-11-10,145,144.0
2022-11-11,90,145.0
2022-11-12,146,90.0
2022-11-13,135,146.0
2022-11-14,130,135.0
2022-11-15,154,130.0
2022-11-16,168,154.0
2022-11-17,104,168.0
2022-11-18,139,104.0
2022-11-19,111,139.0
2022-11-20,124,111.0
2022-11-21,157,124.0
2022-11-22,127,157.0
2022-11-23,128,127.0
2022-11-24,127,128.0
2022-11-25,145,127.0
2022-11-26,140,145.0
2022-11-27,94,140.0
2022-11-28,132,94.0
2022-11-29,136,132.0
2022-11-30,119,136.0
2022-12-01,101,119.0
2022-12-02,139,101.0
2022-12-03,144,139.0
2022-12-04,122,144.0
2022-12-05,171,122.0
2022-12-06,116,171.0
2022-12-07,142,116.0
2022-12-08,132,142.0
2022-12-09,131,132.0
2022-12-10,137,131.0
2022-12-11,86,137.0
2022-12-12,113,86.0
2022-12-13,126,113.0
2022-12-14,106,126.0
2022-12-15,126,106.0
2022-12-16,148,126.0
2022-12-17,121,148.0
2022-12-18,86,121.0
2022-12-19,111,86.0
2022-12-20,89,111.0
2022-12-21,105,89.0
2022-12-22,114,105.0
2022-12-23,131,114.0
2022-12-24,85,131.0
2022-12-25,78,85.0
2022-12-26,84,78.0
2022-12-27,79,84.0
2022-12-28,82,79.0
2022-12-29,79,82.0
2022-12-30,112,79.0
2022-12-31,80,112.0
